pathway_id	pathway_name	gene_id
PWYBWI-1	pyridoxal 5'-phosphate biosynthesis II	GRMZM2G120652
PWYBWI-1	pyridoxal 5'-phosphate biosynthesis II	GRMZM5G850015
PWYBWI-1	pyridoxal 5'-phosphate biosynthesis II	GRMZM2G023528
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G162605
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G175816
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G101693
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G362413
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G138624
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G128880
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM5G862488
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G046583
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G402319
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G049588
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G138342
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G059073
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G006678
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM5G887647
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G142836
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G139689
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G046498
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G106119
PWYBWI-48	superpathway of niacin and pyridine nucleotide synthesis and salvage	GRMZM2G404897
PWYBWI-36	folate transport (Plastidial membrane)	GRMZM5G840435
PWYBWI-36	folate transport (Plastidial membrane)	GRMZM2G027603
PWYBWI-6	7-Keto-8-aminopelarogonic acid synthesis (Peroxisomal)	GRMZM2G110932
PWYBWI-43	acyl-coenzyme A ester transport (Peroxisomal)	GRMZM2G060045
PWYBWI-43	acyl-coenzyme A ester transport (Peroxisomal)	GRMZM2G375807
PWYBWI-37	folate monoglutamate transport (Vacuolar membrane)	GRMZM2G084181
PWYBWI-7	glutamate removal from folates (vacuolar)	GRMZM2G095955
PWYBWI-3	Thiamin biosynthesis (cytosolic)	GRMZM2G055458
PWYBWI-3	Thiamin biosynthesis (cytosolic)	GRMZM5G864815
PWYBWI-5	NADP biosynthesis (peroxisomal)	GRMZM2G006678
PWYBWI-27	NAD+ transport (Mitochondrial/Plastidial membrane)	GRMZM2G102745
PWYBWI-27	NAD+ transport (Mitochondrial/Plastidial membrane)	GRMZM2G136016
PWYBWI-31	biotin transport (Plasma membrane)	GRMZM2G307561
PWYBWI-4	pyridoxal 5'-phosphate salvage pathway (plastidic)	GRMZM2G069758
PWYBWI-4	pyridoxal 5'-phosphate salvage pathway (plastidic)	GRMZM2G061988
PWYBWI-4	pyridoxal 5'-phosphate salvage pathway (plastidic)	GRMZM2G022130
PWYBWI-25	Nicotinate transport (Plasma membrane)	GRMZM2G066801
PWYBWI-25	Nicotinate transport (Plasma membrane)	GRMZM2G081774
PWYBWI-25	Nicotinate transport (Plasma membrane)	GRMZM2G381453
PWYBWI-26	NAD(+) transport (Peroxisomal membrane)	GRMZM2G540403
PWYBWI-26	NAD(+) transport (Peroxisomal membrane)	GRMZM2G013450
PWYBWI-15	thiamine diphosphate transport  (Mitochondrial membrane)	GRMZM2G124911
PWYBWI-15	thiamine diphosphate transport  (Mitochondrial membrane)	GRMZM2G118515
PWY-2261	ascorbate glutathione cycle	GRMZM5G826194
PWY-2261	ascorbate glutathione cycle	GRMZM2G035502
PWY-2261	ascorbate glutathione cycle	GRMZM2G005710
PWY-2261	ascorbate glutathione cycle	GRMZM5G855672
PWY-2261	ascorbate glutathione cycle	GRMZM2G081160
PWY-2261	ascorbate glutathione cycle	GRMZM2G137839
PWY-2261	ascorbate glutathione cycle	apx2
PWY-2261	ascorbate glutathione cycle	GRMZM2G150356
PWY-2261	ascorbate glutathione cycle	GRMZM2G557799
PWY-2261	ascorbate glutathione cycle	GRMZM2G460406
PWY-2261	ascorbate glutathione cycle	GRMZM2G093346
PWY-2261	ascorbate glutathione cycle	GRMZM2G316256
PWY-2261	ascorbate glutathione cycle	GRMZM2G054300
PWY-2261	ascorbate glutathione cycle	GRMZM2G332922
PWY-2261	ascorbate glutathione cycle	GRMZM2G004211
PWY-2261	ascorbate glutathione cycle	GRMZM2G014397
PWY-2261	ascorbate glutathione cycle	GRMZM2G113191
PWY-2261	ascorbate glutathione cycle	GRMZM2G113165
PWY-2261	ascorbate glutathione cycle	GRMZM2G088208
PWY-2261	ascorbate glutathione cycle	GRMZM2G084881
PWY-2261	ascorbate glutathione cycle	GRMZM2G087259
PWY-2261	ascorbate glutathione cycle	GRMZM2G134708
PWY-2261	ascorbate glutathione cycle	GRMZM2G320307
PWY-2261	ascorbate glutathione cycle	GRMZM2G009633
DETOX1-PWY	superoxide radicals degradation	GRMZM2G106928
DETOX1-PWY	superoxide radicals degradation	GRMZM2G169890
DETOX1-PWY	superoxide radicals degradation	GRMZM5G891739
DETOX1-PWY	superoxide radicals degradation	GRMZM2G175728
DETOX1-PWY	superoxide radicals degradation	GRMZM2G005526
DETOX1-PWY	superoxide radicals degradation	GRMZM2G390498
DETOX1-PWY	superoxide radicals degradation	GRMZM2G059991
DETOX1-PWY	superoxide radicals degradation	GRMZM5G864424
DETOX1-PWY	superoxide radicals degradation	GRMZM2G025992
DETOX1-PWY	superoxide radicals degradation	GRMZM2G124455
DETOX1-PWY	superoxide radicals degradation	GRMZM2G058522
DETOX1-PWY	superoxide radicals degradation	GRMZM2G042080
DETOX1-PWY	superoxide radicals degradation	GRMZM2G173628
DETOX1-PWY	superoxide radicals degradation	GRMZM2G081585
